Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_TYPES_PERSONAL,PSL_SEXUAL_ORIENTATION_GENDER_IDENTITY,false,MULTIPLE_CHOICE,Személyes adatok / Szexuális irányultság
PSL_DATA_TYPES_PERSONAL,PSL_OTHER_PERSONAL,true,MULTIPLE_CHOICE,Személyes adatok / Egyéb adatok
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_DEBIT_BANK_ACCOUNT_NUMBER,true,MULTIPLE_CHOICE,Pénzügyi adatok / Felhasználó fizetési adatai
PSL_DATA_TYPES_FINANCIAL,PSL_PURCHASE_HISTORY,true,MULTIPLE_CHOICE,Pénzügyi adatok / Vásárlási előzmények
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,false,MULTIPLE_CHOICE,Pénzügyi adatok / Hitelbírálati pontszám
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,false,MULTIPLE_CHOICE,Pénzügyi adatok / További pénzügyi információ
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,true,MULTIPLE_CHOICE,Hely / Hozzávetőleges hely
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,false,MULTIPLE_CHOICE,Hely / Pontos hely
PSL_DATA_TYPES_SEARCH_AND_BROWSING,PSL_WEB_BROWSING_HISTORY,false,MULTIPLE_CHOICE,Internetes böngészés / Internetes böngészési előzmények
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_EMAILS,false,MULTIPLE_CHOICE,Üzenetek / E-mail-címek
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_SMS_CALL_LOG,false,MULTIPLE_CHOICE,Üzenetek / SMS vagy MMS
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_OTHER_MESSAGES,true,MULTIPLE_CHOICE,Üzenetek / Egyéb alkalmazáson belül küldött üzenetek
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_PHOTOS,false,MULTIPLE_CHOICE,Fotók és videók / Fotók
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_VIDEOS,false,MULTIPLE_CHOICE,Fotók és videók / Videók
PSL_DATA_TYPES_AUDIO,PSL_AUDIO,false,MULTIPLE_CHOICE,Hangfájlok / Hangfelvételek
PSL_DATA_TYPES_AUDIO,PSL_MUSIC,false,MULTIPLE_CHOICE,Hangfájlok / Zenei fájlok
PSL_DATA_TYPES_AUDIO,PSL_OTHER_AUDIO,false,MULTIPLE_CHOICE,Hangfájlok / Egyéb hangfájlok
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_HEALTH,false,MULTIPLE_CHOICE,Egészség és edzettség / Egészségügyi információk
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_FITNESS,false,MULTIPLE_CHOICE,Fittséggel kapcsolatos adatok
PSL_DATA_TYPES_CONTACTS,PSL_CONTACTS,false,MULTIPLE_CHOICE,Névjegyek / Névjegyek
PSL_DATA_TYPES_CALENDAR,PSL_CALENDAR,false,MULTIPLE_CHOICE,Naptár / Naptáresemények
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_CRASH_LOGS,true,MULTIPLE_CHOICE,Alkalmazásadatok és -teljesítmény / Összeomlási naplók
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_PERFORMANCE_DIAGNOSTICS,true,MULTIPLE_CHOICE,Alkalmazásadatok és -teljesítmény / Diagnosztika
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_OTHER_PERFORMANCE,true,MULTIPLE_CHOICE,Alkalmazásteljesítménnyel kapcsolatos egyéb adatok
PSL_DATA_TYPES_FILES_AND_DOCS,PSL_FILES_AND_DOCS,false,MULTIPLE_CHOICE,Fájlok és dokumentumok / Fájlok és dokumentumok
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_INTERACTION,true,MULTIPLE_CHOICE,Tevékenység / Alkalmazásinterakciók
PSL_DATA_TYPES_APP_ACTIVITY,PSL_IN_APP_SEARCH_HISTORY,true,MULTIPLE_CHOICE,Tevékenység / Alkalmazáson belüli keresési előzmények
PSL_DATA_TYPES_APP_ACTIVITY,PSL_APPS_ON_DEVICE,false,MULTIPLE_CHOICE,Tevékenység / Telepített alkalmazások
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_GENERATED_CONTENT,true,MULTIPLE_CHOICE,Tevékenység / Egyéb felhasználó által létrehozott tartalom
PSL_DATA_TYPES_APP_ACTIVITY,PSL_OTHER_APP_ACTIVITY,true,MULTIPLE_CHOICE,Tevékenység / Egyéb műveletek
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,true,MULTIPLE_CHOICE,Eszköz- vagy egyéb azonosítók / Eszköz- vagy egyéb azonosítók
